Issue Type,Summary,Priority,Story Points,Epic Link,Assignee,Description,Acceptance Criteria,Labels,Components
Epic,Emergency Security Patch,Highest,,SECURITY-EPIC-1,,Critical IDOR vulnerability requiring immediate remediation. Complete PII data exposure risk.,,security;critical;idor,Backend
Story,Implement Server-Side Authorization for eKYC Endpoints,Highest,8,SECURITY-EPIC-1,Backend Lead,"Implement proper object-level authorization on all eKYC-related API endpoints to ensure users can only access their own data.

Technical Implementation:
- Add authorization middleware to verify userId from JWT matches resource owner
- Implement check: eKycRecord.userId === authenticatedUser.userId
- Return 403 Forbidden if authorization fails
- Add audit logging for all authorization failures
- Block requests where eKycId doesn't belong to authenticated user
- Add rate limiting (max 10 requests/minute per user)","- Add authorization middleware to verify userId from JWT matches the resource owner
- Implement check: eKycRecord.userId === authenticatedUser.userId
- Return 403 Forbidden if authorization fails
- Add audit logging for all authorization failures
- Block requests where eKycId doesn't belong to authenticated user
- Add rate limiting to prevent brute force attacks (max 10 requests/minute per user)
- Unit tests for authorization middleware
- Integration tests attempting cross-user access
- Penetration test to verify fix
- Load test to ensure no performance degradation",security;p0;authorization;backend,Backend
Story,Secure S3 File Server Access,Highest,5,SECURITY-EPIC-1,Backend + DevOps,"Implement authentication and authorization for S3 file server access to prevent unauthorized access to CCCD images.

Technical Implementation:
- Remove public access from S3 bucket
- Implement pre-signed URL generation with 15-minute expiration
- Add authorization check before generating pre-signed URLs
- Verify user owns the CCCD record before granting access
- Add watermarking to CCCD images with user ID
- Implement access logging for all file downloads","- Remove public access from S3 bucket
- Implement pre-signed URL generation with expiration (15 minutes)
- Add authorization check before generating pre-signed URLs
- Verify user owns the CCCD record before granting access
- Add watermarking to CCCD images with user ID
- Implement access logging for all file downloads
- Verify public access is blocked
- Test pre-signed URL expiration
- Test cross-user access attempts
- Verify watermarking is applied",security;p0;s3;file-storage;backend;devops,Backend;DevOps
Story,Implement UUID-Based Resource Identifiers,Highest,13,SECURITY-EPIC-1,Backend Team,"Replace sequential integer IDs with UUIDs to prevent enumeration attacks.

Migration Strategy:
1. Add new UUID column to eKYC table
2. Generate UUIDs for all existing records
3. Update API to accept both formats (transition period)
4. Update mobile app to use UUIDs
5. Deprecate integer ID endpoints
6. Remove integer ID column after full migration","- Migrate eKycId from integer to UUID v4
- Update database schema with UUID column
- Create migration script with zero downtime
- Update all API endpoints to use UUID
- Maintain backward compatibility during transition period
- Update mobile app to handle UUID format
- Add database indexes for UUID lookups
- Test migration script on staging data
- Verify no data loss during migration
- Test API with both ID formats
- Performance test UUID lookups
- Test mobile app compatibility",security;p0;uuid;migration;backend,Backend
Story,Forensic Investigation of Existing Breach,Highest,8,SECURITY-EPIC-1,Security Team + Legal,"Investigate if the vulnerability has been exploited and identify affected users.

Investigation Steps:
1. Analyze API access logs for last 6 months
2. Identify requests with mismatched userId and eKycId
3. Track S3 access logs for unauthorized downloads
4. Correlate suspicious activities
5. Determine data exposure scope
6. Assess legal notification requirements","- Analyze access logs for suspicious patterns
- Identify all instances of cross-user data access
- Create list of potentially affected users
- Determine scope and timeline of potential breach
- Document findings for legal/compliance team
- Prepare user notification if required
- Report to regulatory authorities if required (GDPR/PDPA)",security;p0;forensics;compliance;legal,Security;Legal
Epic,eContract Integration Security,Highest,,SECURITY-EPIC-2,,Secure the third-party eContract integration to prevent unauthorized access through token manipulation.,,security;critical;econtract;integration,Backend
Story,Secure eContract Third-Party Integration,Highest,8,SECURITY-EPIC-2,Backend + Integration,"Implement secure token exchange with eContract system to prevent unauthorized access.

Technical Implementation:
- Implement server-to-server token exchange (no client exposure)
- Generate unique session tokens per user request
- Add token expiration (30 minutes)
- Bind tokens to specific user ID and IP address
- Validate token ownership before displaying WebView
- Implement token revocation mechanism
- Add CSRF protection for WebView interactions","- Implement server-to-server token exchange (no client exposure)
- Generate unique session tokens per user request
- Add token expiration (30 minutes)
- Bind tokens to specific user ID and IP address
- Validate token ownership before displaying WebView
- Implement token revocation mechanism
- Add CSRF protection for WebView interactions
- Test token expiration
- Test IP binding validation
- Test cross-user token usage attempts
- Test CSRF protection
- Load test token generation",security;p0;econtract;integration;backend,Backend
Story,Implement Request Signing for eContract API,Highest,5,SECURITY-EPIC-2,Backend,"Add cryptographic request signing to prevent request tampering.

Technical Implementation:
- Implement HMAC-SHA256 request signing
- Include timestamp in signature to prevent replay attacks
- Validate signature on server side
- Reject requests with invalid signatures
- Implement signature key rotation mechanism
- Add monitoring for signature validation failures","- Implement HMAC-SHA256 request signing
- Include timestamp in signature to prevent replay attacks
- Validate signature on server side
- Reject requests with invalid signatures
- Implement signature key rotation mechanism
- Add monitoring for signature validation failures
- Test signature validation
- Test replay attack prevention
- Test key rotation
- Performance test signing overhead",security;p0;signing;cryptography;backend,Backend
Epic,Comprehensive Security Audit,High,,SECURITY-EPIC-3,,Conduct comprehensive security audit and implement automated testing to prevent future vulnerabilities.,,security;audit;testing,Security;QA
Story,Complete API Security Audit,High,13,SECURITY-EPIC-3,Security Team + Backend Lead,"Conduct comprehensive security audit of all API endpoints to identify similar IDOR vulnerabilities.

Audit Checklist:
- User profile endpoints
- Transaction history endpoints
- Document upload/download endpoints
- Account management endpoints
- Payment endpoints
- Notification endpoints
- Settings endpoints","- Audit all API endpoints for authorization checks
- Create inventory of all endpoints with user-specific data
- Identify all endpoints using sequential IDs
- Document authorization model for each endpoint
- Create security test suite for all endpoints
- Generate security audit report
- Prioritize remediation of findings
- Deliverables: Security audit report (PDF); Vulnerability matrix (spreadsheet); Remediation roadmap; Security test suite",security;p1;audit;backend,Security;Backend
