id;group_name;group_owner;introduction;photo;broker_contact;status;created_by;created_at;updated_at;approved_at;approved_by;total_view
1;deliverables teal Plastic;reboot payment;utilize;empowering deposit Rustic;optical;APPROVED;COM Optional;Branding;2023-07-03T14:57:39;2023-07-04T02:14:50;Bedfordshire transmitting B2B;99274
2;online Architect Movies;Account;Account blue;Swiss Fish Refined;users;REJECTED;Human Architect Indiana;Open-source;2023-07-04T01:36:42;2023-07-04T00:05:00;Innovative;93035
3;violet Cotton;River Industrial;Croatian transmitting Cotton;Home reintermediate;dynamic copy Fort;PENDING;convergence maroon tan;Small;2023-07-03T19:18:53;2023-07-03T19:45:24;Steel Alabama;80561
4;fuchsia Oman;initiatives;Producer Industrial deposit;Handcrafted open-source;Rupee Estonia;APPROVED;Manager;XML cross-media;2023-07-03T16:32:39;2023-07-03T23:07:43;implement Fish Functionality;86320
5;Director;up Fort;Borders;Silver salmon Beauty;Bedfordshire Tuna;REJECTED;Steel Neck online;systems Buckinghamshire;2023-07-03T16:52:47;2023-07-03T21:45:17;Gorgeous Vatu;35657
6;Tennessee Place;deposit invoice;Michigan Arizona solid;Cross-platform calculating payment;Account Manors National;APPROVED;mobile;Berkshire;2023-07-03T11:11:28;2023-07-04T01:33:13;National cultivate;23203
7;Manat systemic;payment Krone Spur;transform Frozen;Cotton;silver Borders Awesome;PENDING;Research;Borders paradigms parsing;2023-07-03T21:35:07;2023-07-04T06:59:00;project Shoes;98791
8;empower;attitude;process;circuit deploy parsing;multi-byte;PENDING;whiteboard Strategist Maryland;SAS;2023-07-03T19:31:20;2023-07-03T17:46:34;synthesize Cape;68428
9;Auto channels;cyan SMS;payment;Soft technologies lime;Maryland compressing;REJECTED;Berkshire matrix;web Checking;2023-07-04T02:20:50;2023-07-03T20:25:01;Salvador Vista;24264
10;Industrial synthesizing hour;virtual Plastic;expedite regional Account;Customer;Handcrafted green;APPROVED;recontextualize payment;Dynamic;2023-07-03T16:05:37;2023-07-04T06:49:10;Indonesia Money hierarchy;31677
