id;account_number;sub_number;user_name;allocated_ratio;order_set_type;created_at;updated_at
1;Games white Pants;Technician Planner;back Gateway;72445;SAFE_MATCH;2023-07-04T23:27:31;2023-07-04T10:49:25
2;Arkansas Pizza;transmit;Concrete mission-critical drive;62898;QUICK_MATCH;2023-07-04T15:09:50;2023-07-05T04:18:37
3;Small well-modulated;time-frame Chief;Cheese overriding program;72194;SAFE_MATCH;2023-07-05T00:56:28;2023-07-04T18:49:52
4;Director;array;content primary systemic;18905;QUICK_MATCH;2023-07-04T21:37:04;2023-07-04T15:03:55
5;blockchains Assurance SQL;teal Industrial;transmit Row plug-and-play;3180;SAFE_MATCH;2023-07-04T17:14:50;2023-07-04T10:57:55
6;Cotton European Unions;infomediaries bluetooth;RSS Iowa;75690;QUICK_MATCH;2023-07-04T07:24:42;2023-07-04T15:28:57
7;Mobility eyeballs Algerian;HTTP;synthesizing migration Croatian;69123;QUICK_MATCH;2023-07-05T01:15:51;2023-07-04T16:35:51
8;Frozen;empowering Senior;transmit;10069;SAFE_MATCH;2023-07-05T01:26:29;2023-07-04T21:54:43
9;invoice;envisioneer Auto;Indiana seamless invoice;17090;QUICK_MATCH;2023-07-05T01:54:17;2023-07-05T02:18:26
10;Virginia Peso;Paradigm Identity archive;clicks-and-mortar models orchestrate;51600;SAFE_MATCH;2023-07-04T11:39:50;2023-07-04T13:20:23
