id;company_name;stock;position
1;frictionless Metal;hacking Sleek;empower Handmade
2;bluetooth Chair;Wooden Synergistic firmware;Unbranded facilitate sexy
3;Buckinghamshire capacitor;firewall capacitor;seize Solutions Borders
4;Fantastic Wooden;Shirt;hack incubate rich
5;Direct THX;Card;copy Fish
6;indigo AI;Usability;Trail Administrator
7;Home Sleek mindshare;discrete;Solutions
8;B2B;transmitting port;Assurance Research Incredible
9;Kwacha orange;Digitized Loan Forward;copy bandwidth Fiji
10;Cheese;compelling payment;migration
